entry_id,n_seqs_min,n_seqs_mean,n_seqs_a,n_seqs_b,pak_mint,pak_mint_5,pak_boltz_msa,pak_boltz_msa_5,pak_boltz_nomsa,pak_boltz_nomsa_5,L_total,L_min,is_homo,log_depth_min,log_depth_norm,boltz_msa_gain
10jx,6816,7642.0,6816,8468,0.33944952487945557,0.6190476417541504,0.6605504751205444,1.0,0.00917431153357029,0.0476190485060215,282,139,False,3.8335295817586434,2.762022181631596,0.6513761635869741
10jy,8468,8468.0,8468,8468,0.3333333432674408,0.5714285969734192,0.7222222089767456,1.0,0.009259259328246117,0.0476190485060215,286,143,True,3.9277808493473745,2.8501128306148433,0.7129629496484995
10tq,4299,4299.0,4299,4299,0.0,0.0,0.0,0.0,0.0,0.0,856,428,True,3.633367445117007,2.317645560610421,0.0
10ua,4299,4299.0,4299,4299,0.0,0.0,0.0,0.0,0.0,0.0,856,428,True,3.633367445117007,2.317645560610421,0.0
21ie,1257,1266.5,1257,1276,0.0,0.0,0.6222222447395325,0.9444444179534912,0.5333333611488342,1.0,125,60,False,3.0993352776859577,2.210259652494136,0.08888888359069824
21ig,463,466.0,463,469,0.10743801295757294,0.3333333432674408,0.6528925895690918,1.0,0.00826446246355772,0.0,664,330,False,2.6655809910179533,1.4063240210790093,0.6446281271055341
21ih,387,393.0,399,387,0.1147540956735611,0.3333333432674408,0.8360655903816223,1.0,0.0,0.0,717,358,False,2.5877109650189114,1.3107694516969741,0.8360655903816223
21ii,395,395.0,395,395,0.1147540956735611,0.3333333432674408,0.8770492076873779,1.0,0.0,0.0,717,358,False,2.59659709562646,1.319655582304523,0.8770492076873779
21ik,1213,1244.0,1213,1275,0.02222222276031971,0.0,0.6777777671813965,0.8888888955116272,0.1111111119389534,0.2777777910232544,115,52,False,3.083860800866573,2.2258591290491734,0.5666666552424431
21ip,1249,1262.5,1249,1276,0.039603959769010544,0.0,0.6534653306007385,0.949999988079071,0.5742574334144592,1.0,129,63,False,3.0965624383741357,2.1968921636473446,0.0792078971862793
21kl,1132,1133.0,1134,1132,0.0,0.0,0.6304348111152649,1.0,0.0,0.0,468,231,False,3.0538464268522527,1.8720404369061805,0.6304348111152649
28vj,2,3522.5,2,7043,0.06741572916507721,0.05882352963089943,0.12359550595283508,0.3529411852359772,0.30337077379226685,0.5882353186607361,413,55,False,0.3010299956639812,-0.5691513490831407,-0.17977526783943176
7pvh,2105,2157.5,2210,2105,0.0,0.0,0.7368420958518982,0.8181818127632141,0.0,0.0,378,186,False,3.323252100171687,2.188495628062729,0.7368420958518982
7pwe,4252,4297.0,4252,4342,0.02521008625626564,0.0,0.6974790096282959,1.0,0.11764705926179886,0.3478260934352875,383,191,False,3.6285932558512592,2.488076572227395,0.579831950366497
7px1,8,8.0,8,8,0.07894736528396606,0.20000001788139343,0.07894736528396606,0.20000000298023224,0.1184210553765297,0.13333334028720856,168,84,True,0.9030899869919435,-0.05904965603899723,-0.03947369009256363
7pza,12315,12367.0,12419,12315,0.7419354915618896,1.0,0.8951612710952759,1.0,0.0,0.0,451,225,False,4.090434416175122,2.9143431571194407,0.8951612710952759
7pzb,12315,12330.5,12346,12315,0.7704917788505554,1.0,0.868852436542511,1.0,0.0,0.0,453,226,False,4.090434416175122,2.9133801966014214,0.868852436542511
7q94,7722,7763.0,7722,7804,0.0,0.0,0.5600000023841858,0.800000011920929,0.0,0.0,531,264,False,3.8877297972880305,2.6769278338531146,0.5600000023841858
7qb9,264,264.0,264,264,0.06535948067903519,0.23333334922790527,0.8300653696060181,1.0,0.06535948067903519,0.06666667014360428,598,299,True,2.4216039268698313,1.1837683327076163,0.7647058889269829
7qcn,8785,8785.0,8785,8785,0.0,0.0,0.22131147980690002,0.0,0.2295081913471222,0.5,814,407,True,3.9437417658313136,2.638944561218704,-0.008196711540222168
7qej,435,438.5,442,435,0.08474576473236084,0.0,0.8389830589294434,1.0,0.0,0.0,407,203,False,2.6384892569546374,1.484741237998031,0.8389830589294434
7qek,447,454.0,461,447,0.1071428656578064,0.0,0.8571428656578064,1.0,0.008928571827709675,0.0,406,202,False,2.6503075231319366,1.4976318384086245,0.8482142938300967
7qeo,4779,4829.5,4880,4779,0.017241379246115685,0.09090909361839294,0.7413793206214905,0.9090909361839294,0.017241379246115685,0.09090909361839294,368,182,False,3.6793370305207937,2.5493013365282566,0.7241379413753748
7qes,4659,4761.0,4659,4863,0.01587301678955555,0.0,0.0317460335791111,0.0,0.0,0.0,366,182,False,3.668292710448221,2.5382570164556837,0.0317460335791111
7qeu,4880,4904.5,4929,4880,0.017543859779834747,0.0,0.017543859779834747,0.0,0.0,0.0,359,173,False,3.6884198220027105,2.569396770438313,0.017543859779834747
7qev,4874,4926.5,4979,4874,0.0416666679084301,0.0714285746216774,0.6666666865348816,1.0,0.0,0.0,383,190,False,3.6878855248487055,2.548508724372291,0.6666666865348816
7qii,83,210.5,338,83,0.024096384644508362,0.0,0.6867470145225525,1.0,0.14457830786705017,0.1875,179,73,False,1.919078092376074,0.987416662315846,0.5421687066555023
7qp9,2453,2453.0,2453,2453,0.04958677291870117,0.0833333358168602,0.9173553586006165,1.0,0.024793388321995735,0.0,654,327,True,3.3896975482063856,2.132423671876243,0.8925619702786207
7qpa,2453,2453.0,2453,2453,0.06034482643008232,0.1304347813129425,0.9396551847457886,1.0,0.0258620698004961,0.0,654,327,True,3.3896975482063856,2.132423671876243,0.9137931149452925
7qpc,2453,2453.0,2453,2453,0.06034482643008232,0.1304347813129425,0.9137930870056152,1.0,0.0258620698004961,0.0,654,327,True,3.3896975482063856,2.132423671876243,0.8879310172051191
7qrh,3317,3320.5,3324,3317,0.0,0.0,0.0,0.0,0.019607843831181526,0.10000000149011612,420,209,False,3.5207454715194824,2.3606723284639552,-0.019607843831181526
7qsp,7151,7458.0,7151,7765,0.0,0.0,0.0,0.0,0.0,0.0,248,123,False,3.8543667780408697,2.8094142223211707,0.0
7qui,4051,4086.0,4051,4121,0.0,0.0,0.0,0.0,0.0,0.0,266,131,False,3.607562243183588,2.548926595355706,0.0
7qvb,166,185.5,166,205,0.012931033968925476,0.021739130839705467,0.7844827771186829,1.0,0.021551724523305893,0.0,442,214,False,2.220108088040055,1.0549012013654597,0.762931052595377
7sfn,492,647.5,492,803,0.0,0.0,0.7833333611488342,1.0,0.0,0.0,301,148,False,2.6919651027673606,1.6068342450698816,0.7833333611488342
7skp,4,4.0,4,4,0.10606060922145844,0.1538461595773697,0.9090909361839294,1.0,0.8939393758773804,1.0,146,70,False,0.6020599913279624,-0.320489028679166,0.015151560306549072
7sks,160,162.0,164,160,0.0,0.0,0.8872180581092834,1.0,0.0,0.0,553,271,False,2.204119982655925,0.9876353372187219,0.8872180581092834
7skt,165,170.0,175,165,0.0,0.0,0.8581560254096985,1.0,0.0,0.0,559,276,False,2.2174839442139063,0.9970294031812974,0.8581560254096985
7sku,153,155.0,153,157,0.0,0.0,0.29501914978027344,0.5769230723381042,0.007662835065275431,0.0,600,299,False,2.184691430817599,0.946855836655384,0.287356314714998
7slp,8525,9087.0,9649,8525,0.0,0.0,0.7777777910232544,1.0,0.0,0.0,560,239,False,3.9306943876645355,2.7414954371904665,0.7777777910232544
7slq,8525,9176.5,9828,8525,0.0,0.0,0.8115941882133484,1.0,0.0,0.0,558,237,False,3.9306943876645355,2.7433202146594833,0.8115941882133484
7spn,12095,12159.5,12095,12224,0.0,0.0,0.9113923907279968,1.0,0.0,0.0,911,455,False,4.082605872697899,2.753600174369342,0.9113923907279968
7sse,1788,1854.0,1920,1788,0.0,0.0,0.0,0.0,0.0,0.0,591,293,False,3.2523675144598987,2.018933704282844,0.0
7sz2,2950,3068.0,2950,3186,0.0,0.0,0.0,0.0,0.007751937955617905,0.0,355,175,False,3.469822015978163,2.3483029916350158,-0.007751937955617905
7sz3,2950,2952.5,2950,2955,0.0,0.0,0.0,0.0,0.01550387591123581,0.0,354,175,False,3.469822015978163,2.3483029916350158,-0.01550387591123581
7t4k,1426,1605.5,1426,1785,0.012658228166401386,0.06666667014360428,0.0,0.0,0.0,0.0,780,378,False,3.154119525515847,1.865373625597234,0.0
7t4l,1372,1569.0,1372,1766,0.01123595517128706,0.05882352963089943,0.0,0.0,0.0,0.0,753,376,False,3.137354111370733,1.8497601889069022,0.0
7t4n,1702,1745.5,1702,1789,0.008771929889917374,0.04545454680919647,0.0,0.0,0.0,0.0,803,399,False,3.230959555748569,1.930473107905195,0.0
7t71,148,151.0,154,148,0.0,0.0,0.0,0.0,0.0,0.0,695,347,False,2.1702617153949575,0.9000969779995205,0.0
7t8i,15736,16245.0,15736,16754,0.5952380895614624,1.0,0.8333333134651184,1.0,0.0,0.0,127,63,False,4.1968943469112805,3.2972240721844894,0.8333333134651184
7t8k,4198,4228.0,4198,4258,0.04979253560304642,0.02083333395421505,0.7012448310852051,1.0,0.0,0.0,563,277,False,3.623042434246382,2.4018025497141573,0.7012448310852051
7t8l,4128,4277.0,4128,4426,0.021367521956562996,0.021739130839705467,0.45299145579338074,1.0,0.004273504484444857,0.0,542,266,False,3.615739688619155,2.4032988703036215,0.4487179513089359
7t8o,380,454.0,528,380,0.16935482621192932,0.4583333432674408,0.5080645084381104,0.9583333134651184,0.12096773833036423,0.0416666679084301,440,219,False,2.57978359661681,1.409561539196751,0.3870967701077461
7t91,8957,10744.0,12531,8957,0.140625,0.0833333358168602,0.765625,1.0,0.40625,0.0833333358168602,129,62,False,3.9521625742144626,3.055966729465336,0.359375
7tak,2021,2021.0,2021,2021,0.0,0.0,0.32894736528396606,0.42222222685813904,0.0,0.0,901,450,False,3.305566313515304,1.9789600566276322,0.32894736528396606
7tdq,60,60.0,60,60,0.02469135820865631,0.0,0.8271604776382446,1.0,0.07407407462596893,0.0,166,83,True,1.7781512503836436,0.8186122041956067,0.7530864030122757
7til,1005,1122.5,1240,1005,0.0,0.0,0.3764705955982208,1.0,0.0,0.0,739,365,False,3.002166061756508,1.7210196295282703,0.3764705955982208
7tuk,585,585.0,585,585,0.010869565419852734,0.0,0.010869565419852734,0.0,0.07608695328235626,0.1111111119389534,284,142,True,2.7671558660821804,1.691011693890652,-0.06521738786250353
7tul,552,552.0,552,552,0.03448275849223137,0.09090909361839294,0.03448275849223137,0.0,0.0,0.0,278,138,False,2.741939077729199,1.6719995345285807,0.03448275849223137
7tvm,4298,4298.0,4298,4298,0.0,0.0,0.8983050584793091,1.0,0.0,0.0,446,223,True,3.6332664111554247,2.4591139796313444,0.8983050584793091
7txe,8544,8544.0,8544,8544,0.0,0.0,0.3191489279270172,0.23404255509376526,0.0,0.0,262,131,True,3.9316612396844812,2.873025591856599,0.3191489279270172
7txm,13783,13908.5,13783,14034,0.25974026322364807,0.7333333492279053,0.8701298832893372,1.0,0.19480518996715546,0.0,203,100,False,4.139343756152375,3.139343756152375,0.6753246933221817
7txn,13723,13734.5,13723,13746,0.2405063360929489,0.8000000715255737,0.8607594966888428,1.0,0.20253165066242218,0.06666667014360428,209,104,False,4.137449063340335,3.128932393690945,0.6582278460264206
7txo,12526,12683.5,12841,12526,0.2602739632129669,0.8571429252624512,0.8630136847496033,1.0,0.24657534062862396,0.5,201,100,False,4.097812407365289,3.097812407365289,0.6164383441209793
