entry_id,n_seqs_min,n_seqs_mean,n_seqs_a,n_seqs_b,pak_mint,pak_mint_5,pak_boltz_msa,pak_boltz_msa_5,pak_boltz_nomsa,pak_boltz_nomsa_5,L_total,L_min,is_homo,log_depth_min,log_depth_norm,boltz_msa_gain,mint_auc,mint_pak,mint_pak2,mint_pak5,n_true_inter,boltz_msa_pak,boltz_nomsa_pak,msa_gain,L_a,L_max,L_asym,interface_density,log_density
10jx,6816,7642.0,6816,8468,0.3394495248794555,0.6190476417541504,0.6605504751205444,1.0,0.0091743115335702,0.0476190485060215,282,139,False,3.833529581758643,2.762022181631596,0.6513761635869741,0.5179142518361239,0.3027522935779816,0.4259259259259259,0.7619047619047619,109,0.6605504751205444,0.0091743115335702,0.6513761635869743,143,143,0.027972027972027972,0.00548372490818534,-2.260924339778533
10jy,8468,8468.0,8468,8468,0.3333333432674408,0.5714285969734192,0.7222222089767456,1.0,0.0092592593282461,0.0476190485060215,286,143,True,3.9277808493473754,2.8501128306148438,0.7129629496484995,0.5237608383279322,0.287037037037037,0.4629629629629629,0.7619047619047619,108,0.7222222089767456,0.0092592593282461,0.7129629496484995,143,143,0.0,0.0052814318548584285,-2.277248319443174
10tq,4299,4299.0,4299,4299,0.0,0.0,0.0,0.0,0.0,0.0,856,428,True,3.633367445117007,2.317645560610421,0.0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,428,428,0.0,0.0003384575072058695,-3.47049584852809
10ua,4299,4299.0,4299,4299,0.0,0.0,0.0,0.0,0.0,0.0,856,428,True,3.633367445117007,2.317645560610421,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,428,428,0.0,0.0003493754913092847,-3.456707564042457
21ie,1257,1266.5,1257,1276,0.0,0.0,0.6222222447395325,0.9444444179534912,0.5333333611488342,1.0,125,60,False,3.0993352776859577,2.210259652494136,0.0888888835906982,0.0659131939698865,0.0666666666666666,0.0444444444444444,0.1111111111111111,90,0.6222222447395325,0.5333333611488342,0.08888888359069824,65,65,0.07692307692307693,0.023076923076923078,-1.6368220975871743
21ig,463,466.0,463,469,0.1074380129575729,0.3333333432674408,0.6528925895690918,1.0,0.0082644624635577,0.0,664,330,False,2.6655809910179533,1.4063240210790091,0.6446281271055341,0.22857794492181,0.140495867768595,0.15,0.25,121,0.6528925895690918,0.0082644624635577,0.6446281271055341,334,334,0.011976047904191617,0.0010978043912175648,-2.959475036373002
21ih,387,393.0,399,387,0.1147540956735611,0.3333333432674408,0.8360655903816223,1.0,0.0,0.0,717,358,False,2.5877109650189114,1.310769451696974,0.8360655903816223,0.2204378638050278,0.1639344262295081,0.1639344262295081,0.25,122,0.8360655903816223,0.0,0.8360655903816223,359,359,0.002785515320334262,0.0009492538242479887,-3.022617644547445
21ii,395,395.0,395,395,0.1147540956735611,0.3333333432674408,0.8770492076873779,1.0,0.0,0.0,717,358,False,2.59659709562646,1.319655582304523,0.8770492076873779,0.2212484603135897,0.1639344262295081,0.180327868852459,0.25,122,0.8770492076873779,0.0,0.8770492076873779,359,359,0.002785515320334262,0.0009492538242479887,-3.022617644547445
21ik,1213,1244.0,1213,1275,0.0222222227603197,0.0,0.6777777671813965,0.8888888955116272,0.1111111119389534,0.2777777910232544,115,52,False,3.083860800866573,2.2258591290491734,0.5666666552424431,0.001163840498785,0.0111111111111111,0.0,0.0,90,0.6777777671813965,0.1111111119389534,0.5666666552424431,63,63,0.1746031746031746,0.027472527472527472,-1.561101383649056
21ip,1249,1262.5,1249,1276,0.0396039597690105,0.0,0.6534653306007385,0.949999988079071,0.5742574334144592,1.0,129,63,False,3.096562438374136,2.1968921636473446,0.0792078971862793,0.0624969924712763,0.0396039603960396,0.06,0.1,101,0.6534653306007385,0.5742574334144592,0.0792078971862793,66,66,0.045454545454545456,0.02429052429052429,-1.6145631112128078
