entry_id,L,AUC,P@K,P@K/2,P@K/5,K
10jy,286,0.5237608383279322,0.28703703703703703,0.46296296296296297,0.7619047619047619,108
10jx,282,0.5179142518361239,0.30275229357798167,0.42592592592592593,0.7619047619047619,109
12td,288,0.0,0.0,0.0,0.0,20
10tq,856,0.0,0.0,0.0,0.0,62
10ua,856,0.0,0.0,0.0,0.0,64
10rb,280,0.0,0.0,0.0,0.0,31
10rc,280,0.0,0.0,0.0,0.0,30
12kh,925,0.006086380922921206,0.015151515151515152,0.0,0.0,66
10ra,280,0.0,0.0,0.0,0.0,29
10yv,548,0.0,0.0,0.0,0.0,115
21ie,125,0.06591319396988654,0.06666666666666667,0.044444444444444446,0.1111111111111111,90
21ih,717,0.2204378638050278,0.16393442622950818,0.16393442622950818,0.25,122
21ip,129,0.0624969924712763,0.039603960396039604,0.06,0.1,101
21ik,115,0.0011638404987850371,0.011111111111111112,0.0,0.0,90
21ii,717,0.22124846031358975,0.16393442622950818,0.18032786885245902,0.25,122
22fh,242,0.0,0.0,0.0,0.0,26
21kl,468,0.0,0.0,0.0,0.0,46
28vj,413,0.07644078428884372,0.056179775280898875,0.06818181818181818,0.11764705882352941,89
21ig,664,0.22857794492181008,0.14049586776859505,0.15,0.25,121
28li,461,0.0,0.0,0.0,0.0,15
7px1,168,0.13987660336727656,0.06578947368421052,0.13157894736842105,0.2,76
7pwe,383,0.013583365245037341,0.025210084033613446,0.01694915254237288,0.0,119
7qii,179,0.021182717320134027,0.03614457831325301,0.04878048780487805,0.0,83
7pzb,453,0.9446072339313999,0.7540983606557377,0.9672131147540983,1.0,122
7qeu,359,0.0,0.0,0.0,0.0,57
7qcn,814,0.0,0.0,0.0,0.0,122
7qpa,654,0.12304257715210973,0.10344827586206896,0.1206896551724138,0.13043478260869565,116
7pvh,378,0.0015959519953491973,0.017543859649122806,0.0,0.0,57
7pza,451,0.9413169319190581,0.7419354838709677,0.967741935483871,1.0,124
7qb9,598,0.2560465474057819,0.12418300653594772,0.19736842105263158,0.3,153
7qej,407,0.1444718832007312,0.0847457627118644,0.1694915254237288,0.21739130434782608,118
7qeo,368,0.0,0.0,0.0,0.0,58
7qrh,420,0.0,0.0,0.0,0.0,51
7qsp,248,0.0,0.0,0.0,0.0,13
7qek,406,0.1071923079332552,0.07142857142857142,0.14285714285714285,0.13636363636363635,112
7qev,383,0.0020613509130064035,0.013888888888888888,0.0,0.0,72
7q94,531,0.46079797822016155,0.36,0.4166666666666667,0.6,25
7qui,266,0.0,0.0,0.0,0.0,24
7qpc,654,0.12868204877667494,0.1206896551724138,0.1206896551724138,0.13043478260869565,116
7qes,366,0.0,0.0,0.0,0.0,63
7qvb,442,0.01871124368486448,0.02586206896551724,0.017241379310344827,0.021739130434782608,232
7qp9,654,0.12118318910624862,0.09917355371900827,0.11666666666666667,0.125,121
7skp,146,0.10142080311533543,0.07575757575757576,0.12121212121212122,0.15384615384615385,66
7sks,553,0.0,0.0,0.0,0.0,133
7skt,559,0.0,0.0,0.0,0.0,141
7sfn,301,0.040243830340649975,0.05,0.06666666666666667,0.0,60
7slq,558,0.0,0.0,0.0,0.0,69
7sse,591,0.0,0.0,0.0,0.0,54
7sz2,355,0.0,0.0,0.0,0.0,129
7t8i,127,0.8032718781495217,0.6190476190476191,0.8095238095238095,0.875,42
7sz3,354,0.0,0.0,0.0,0.0,129
7t91,129,0.08208183418993324,0.140625,0.03125,0.08333333333333333,64
7tdq,166,0.0,0.0,0.0,0.0,81
7t4l,753,0.029454601030757352,0.011235955056179775,0.022727272727272728,0.058823529411764705,89
7slp,560,0.0,0.0,0.0,0.0,72
7sku,600,0.0,0.0,0.0,0.0,261
7t8k,563,0.009042423873560124,0.012448132780082987,0.016666666666666666,0.0,241
7t71,695,0.0,0.0,0.0,0.0,63
7spn,911,0.0,0.0,0.0,0.0,79
7t4k,780,0.031683282011968565,0.012658227848101266,0.02564102564102564,0.06666666666666667,79
7t8o,440,0.3679543947656198,0.1935483870967742,0.3387096774193548,0.4583333333333333,124
7tak,901,0.0,0.0,0.0,0.0,228
7t8l,542,0.009081735001337705,0.01282051282051282,0.008547008547008548,0.0,234
7tze,416,0.0,0.0,0.0,0.0,27
7tzv,385,0.06457069296683458,0.05142857142857143,0.08045977011494253,0.08571428571428572,175
7tzl,542,0.0,0.0,0.0,0.0,38
7txn,209,0.545292913065038,0.2911392405063291,0.48717948717948717,0.7333333333333333,79
7txo,201,0.5663600051025036,0.3013698630136986,0.4722222222222222,0.8571428571428571,73
7u2s,494,0.14661493023250335,0.13978494623655913,0.13043478260869565,0.2222222222222222,93
7til,739,0.0,0.0,0.0,0.0,85
7t4n,803,0.02390295195764123,0.008771929824561403,0.017543859649122806,0.045454545454545456,114
7tuk,284,0.0,0.0,0.0,0.0,92
7tul,278,0.03540340432561302,0.017241379310344827,0.034482758620689655,0.09090909090909091,58
7u02,385,0.06514952835445872,0.05389221556886228,0.07228915662650602,0.06060606060606061,167
7txm,203,0.5679026529082386,0.2987012987012987,0.5,0.9333333333333333,77
7ubj,290,0.0,0.0,0.0,0.0,34
7uaw,250,0.03729575667864034,0.03636363636363636,0.03636363636363636,0.045454545454545456,220
7ubk,293,0.002773712666868485,0.010309278350515464,0.0,0.0,97
7txe,262,0.0,0.0,0.0,0.0,235
7uj4,889,0.0,0.0,0.0,0.0,24
7ux6,706,0.5592483235673967,0.36217948717948717,0.5064102564102564,0.6612903225806451,312
7ut0,566,0.0,0.0,0.0,0.0,23
7tvm,446,0.0,0.0,0.0,0.0,59
7uql,280,0.13086569002991955,0.12121212121212122,0.15151515151515152,0.07692307692307693,66
7uj3,439,0.03428042692894584,0.020172910662824207,0.017341040462427744,0.028985507246376812,347
7uj2,315,0.19047913412553413,0.09424083769633508,0.15789473684210525,0.21052631578947367,191
7udi,424,0.04909605988267796,0.02666666666666667,0.03571428571428571,0.06666666666666667,225
7urg,802,0.0,0.0,0.0,0.0,47
7unh,491,0.0,0.0,0.0,0.0,95
7unj,435,0.035595894394467816,0.08771929824561403,0.03571428571428571,0.0,57
7uln,472,0.0,0.0,0.0,0.0,157
7uxs,390,0.0,0.0,0.0,0.0,88
7ux8,739,0.5470149225086576,0.33534743202416917,0.47878787878787876,0.6515151515151515,331
7ula,746,0.0,0.0,0.0,0.0,243
7urv,445,0.0,0.0,0.0,0.0,47
7ul6,878,0.0,0.0,0.0,0.0,100
7ux7,739,0.5435434186821178,0.3353115727002967,0.48214285714285715,0.6567164179104478,337
7vp6,91,0.9236289992903735,0.7657657657657657,0.9636363636363636,1.0,111
7vpf,546,0.0,0.0,0.0,0.0,67
7vq4,800,0.11076140961855288,0.06285714285714286,0.06896551724137931,0.17142857142857143,175
7vw2,170,0.3341817523836224,0.23076923076923078,0.25862068965517243,0.391304347826087,117
7vw0,181,0.35100542015792874,0.2097902097902098,0.3380281690140845,0.5,143
7vw1,177,0.3324713275029942,0.23577235772357724,0.29508196721311475,0.375,123
7vqk,386,0.7387832312467768,0.5321100917431193,0.7614678899082569,0.813953488372093,218
7vlj,364,0.8714861397944733,0.6608187134502924,0.9294117647058824,1.0,171
7vub,298,0.07985087216135887,0.02531645569620253,0.05128205128205128,0.06666666666666667,79
